"No."	"Monoisotopic_Mass"	"Sum_Intensity"	"Number_of_Charge_States"	"Average_Charge"	"Delta_Mass"	"Relative_Abundance"	"Fractional_Abundance"	"RT_Range"	"sample"	"earp"	"efp"	"target_mass"
1	10930.5467	"74705.190000000002"	"3"	"11.707046349499317"	"0"	2.92713713390421	1.21483102401218	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
2	10951.1148	"81526.369999999995"	"3"	"12.91326052376642"	"20.568099999998594"	3.19440811300278	1.32575479094687	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
3	10951.6038	"127821.73"	"4"	"12.2510941603879"	"21.057099999999991"	5.00837669247448	2.0785945815399	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
4	11156.6237	"46140.510000000002"	"3"	"12.845006601074219"	"226.07699999999932"	1.80790116721848	0.750321671248603	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
5	21879.1697	"64761.800000000003"	"4"	"23.908515231522124"	"10948.622999999998"	2.53753011856977	1.05313491352973	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
6	21889.1485	"100991.84"	"5"	"24.060992784662044"	"10958.601799999999"	3.95711415880627	1.64229580841806	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
7	21915.096	"65090.940000000002"	"3"	"22.489909226884158"	"10984.549300000001"	2.55042665114339	1.05848727905137	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
8	21921.0918	"69574.039999999994"	"4"	"28.180913175257306"	"10990.545099999998"	2.72608577850798	1.13138996444376	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
9	21933.1373	"92389.050000000003"	"3"	"24.448866999598827"	"11002.590599999998"	3.6200352213967	1.50240009052936	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
10	21935.1827	"2552158.8700000001"	"15"	"23.468057760298432"	"11004.636"	100	41.502361127572	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
11	21952.1102	"702069.79000000004"	"12"	"24.002049066713251"	"11021.563499999998"	27.5088591957443	11.4168260854931	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
12	21963.0907	"354054.84000000003"	"9"	"23.976407995514847"	"11032.544"	13.87275863434	5.75752238678022	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
13	21974.0718	"171830.10000000001"	"6"	"24.574326856794819"	"11043.525100000001"	6.73273525483937	2.79424409922679	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
14	21981.1098	"304782.13"	"8"	"23.285106189689127"	"11050.563099999998"	11.9421299975734	4.95626591791701	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
15	21994.069	"230627.88"	"9"	"23.689876717946039"	"11063.522299999999"	9.03658007779116	3.75039409746711	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
16	22006.0597	"86017.559999999998"	"4"	"22.906872596117161"	"11075.513000000001"	3.37038422690355	1.39878903323624	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
17	22024.086	"108142.17"	"5"	"23.482458055541063"	"11093.539299999999"	4.23728206230359	1.75857210349107	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
18	22034.0876	"99775.740000000005"	"5"	"23.282859999057592"	"11103.540899999998"	3.9094643038425	1.62251999353423	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
19	22046.0216	"35678.860000000001"	"3"	"26.061649866846871"	"11115.474899999999"	1.39798742231121	0.580197788525635	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
20	22081.1452	"511914"	"11"	"24.038081332851871"	"11150.598499999998"	20.0580773406163	8.32457569315028	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
21	22098.2029	"87142.25"	"5"	"25.556197170103083"	"11167.656199999999"	3.41445240828601	1.41707836901594	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
22	22099.0887	"93843.279999999999"	"3"	"22.088451357591254"	"11168.541999999999"	3.67701560835827	1.52604829649804	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
23	22119.1138	"88391.600000000006"	"5"	"24.780992094051868"	"11188.567099999998"	3.46340508183176	1.4373948843725	"0.292"	"mepr_plus"	"plus"	"mepr"	21935.07
1	7345.0125	"85215.770000000004"	"3"	"8.4300468558150143"	"0"	2.37435686549609	1.21928560882395	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
2	7345.6859	"59474.660000000003"	"3"	"8.2356368263653259"	"0.67340000000058353"	1.65713537874558	0.850976257419221	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
3	7353.3435	"80379.720000000001"	"3"	"7.8123954687330075"	"8.331000000000131"	2.23961057945793	1.15009036282015	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
4	21878.1164	"79282.259999999995"	"4"	"24.891373136901706"	"14533.103899999998"	2.20903218198986	1.1343876685388	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
5	21892.0998	"100092.92"	"5"	"22.328104537621847"	"14547.087299999999"	2.78887712672844	1.43215107838803	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
6	21903.0974	"193448.70999999999"	"8"	"23.30701889239651"	"14558.084899999998"	5.39003840145859	2.76790584827852	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
7	21921.1409	"117645.67999999999"	"4"	"23.745737407614133"	"14576.128399999998"	3.27794759120238	1.68329975266675	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
8	21935.0474	"163306.89999999999"	"3"	"16.050503266618481"	"14590.034899999999"	4.5502007339473	2.33663033252708	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
9	21935.1215	"3589004.2999999998"	"14"	"23.522527115378523"	"14590.109"	100	51.3522472776724	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
10	21952.0669	"1016586.85"	"14"	"23.303027554951548"	"14607.054400000001"	28.3250385071982	14.5455438157124	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
11	21967.0471	"446700.88"	"10"	"24.011710578695379"	"14622.034599999999"	12.4463734969613	6.39149249526223	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
12	21969.0524	"70058.550000000003"	"3"	"21.62957333481376"	"14624.0399"	1.95203304716018	1.00241283731958	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
13	21976.0605	"265902.03999999998"	"8"	"23.844343188244537"	"14631.047999999999"	7.40879691896719	3.80458371412861	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
14	21986.0621	"260000.70000000001"	"9"	"23.84347421905662"	"14641.049599999998"	7.24436858434525	3.72014606913899	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
15	21997.0501	"155012.57999999999"	"4"	"23.284532335683693"	"14652.0376"	4.31909708216287	2.21795341379501	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
16	22012.0443	"219636.03"	"9"	"23.504901993547758"	"14667.031800000001"	6.119692584375	3.14259966856163	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
17	22034.0336	"87243.149999999994"	"4"	"23.768449132420123"	"14689.021099999998"	2.43084551333639	1.24829379894671	"0.198"	"mepr_minus"	"minus"	"mepr"	21935.07
1	7150.5352	"675296.69999999995"	"3"	"8.0653362912113682"	"0"	17.4623888805915	12.1542294481896	"0.256"	"dera_plus"	"plus"	"dera"	21428.606
2	10725.2933	"501018.10999999999"	"3"	"12.804996643429975"	"3574.7580999999991"	12.9557468191966	9.01750159098705	"0.256"	"dera_plus"	"plus"	"dera"	21428.606
3	21428.6057	"3867149.5899999999"	"11"	"24.077942409102317"	"14278.0705"	100	69.6023295054343	"0.256"	"dera_plus"	"plus"	"dera"	21428.606
4	21471.5777	"512599.04999999999"	"5"	"25.918245668696485"	"14321.042500000001"	13.2552164862079	9.22593945538905	"0.256"	"dera_plus"	"plus"	"dera"	21428.606
1	6214.681	"6004.1400000000003"	"3"	"7.6955307446814887"	"0"	5.06073925528289	0.977346406854418	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
2	7239.279	"10318.49"	"3"	"7.7671432462003773"	"1024.5980000000009"	8.69719683389193	1.67963090895003	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
3	7241.2958	"7808.8699999999999"	"3"	"7.777242074474179"	"1026.6148000000003"	6.58190097972414	1.27111810119239	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
4	7252.3257	"38128.010000000002"	"3"	"7.6143759275868028"	"1037.6447000000007"	32.1371448588505	6.20642982575512	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
5	7252.6584	"62597.540000000001"	"4"	"7.3551892824635523"	"1037.9774000000007"	52.7618989500812	10.1895493437738	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
